at,content,score
2020-08-16 21:08:23,I LOVED this game i played since 2018 -2020,5
2013-06-08 19:43:47,Wah,5
2017-04-17 01:26:34,It is wonderful,5
2013-03-29 12:23:43,Whos the creater he must  be cool,5
2017-12-05 23:52:08,It s a nice game,3
2016-01-07 20:34:28,yum,5
2019-11-13 02:01:55,Fun an addicting,5
2012-10-11 04:03:24,Ok,4
2022-10-07 22:04:03,Great game,5
2013-05-25 15:54:39,"Halfbrick Studios team Amazing game..... Love it. The only fault is that there is no sound in it, which was there in the previous version but after the update it is completely mute...... Pls fix it.....",3
2013-01-05 17:17:17,"This game is totally awesome, but suddenly it stopped working on my phone so I had to delete it. My 5 stars would be if it ran smoothly.",4
2014-02-07 06:41:40,,3
2013-09-30 06:59:27,Great game!!!!,5
2015-12-24 00:11:42,"Love this game, playing for 4 years and enjoying like it's the first time. Great job guys",5
2016-02-05 00:11:07,ok,5
2012-10-15 05:32:44,Good,1
2015-12-11 08:09:39,Good clean graphics. Fun ideas for costumes and themes are always being added. Fun. Challenging. I can play offline.,5
2016-12-16 01:09:56,It's the most awesome game,5
2017-05-31 02:51:38,Good,5
2013-10-28 03:55:40,Deeply.,5
2015-03-11 10:12:08,Imagine they added custom jetpacks to make your own would be awsome,5
2016-05-13 05:03:27,I love this game,5
2017-05-26 07:01:36,Great game,5
2013-11-08 05:20:54,Keeps u busy,5
2016-11-08 23:04:45,This is so good,5
2017-03-16 09:05:25,The coolesy Halfbrick Studios game.,5
2014-06-21 10:41:53,Nice,3
2013-12-30 14:48:53,doesn't open!,2
2017-03-13 02:15:07,This game is for skrubs but I would still play it .......get rkt,5
2016-04-01 07:37:14,Glitched,2
2016-01-02 00:57:07,:):); _,5
2017-06-17 23:00:10,I love this game is so cool 😎,5
2017-06-16 08:11:58,I think that it will be 😎,5
2015-12-28 00:08:04,Cool,5
2017-06-11 22:41:05,Fun and good to eat up time,5
2017-04-11 07:23:32,Great game,5
2014-10-08 17:22:28,This is one of the apps that I have only rated. I rarely rate games but yeah this app deserves it! ALSO PLS PLS PLS ADD MORE JETPACKS BOOSTERS MISSIONS AND MORE OUTFITS PLS! THANK YOU AND MORE POWER!,5
2016-01-26 04:44:15,Panget  tagal mag download,5
2018-10-09 23:18:33,I love it,5
2017-08-08 20:19:56,AWESOME,5
2016-11-04 01:56:56,Really fun to play but pls make the Halloween stuff buyable in game coins,4
2017-03-16 01:43:31,Awsome,5
2014-04-12 04:06:59,Awesome,5
2019-02-02 05:31:05,Perfect game except when you pause and unpause there should be a countdown to when you move again!,5
2015-01-18 21:11:47,To is a very good game,5
2016-06-13 18:51:45,Good,5
2012-12-17 09:27:06,Addicting and fun!,5
2018-12-19 19:23:12,it is the best,5
2013-09-11 19:23:53,"Amazing really good but u should give us lik 10,000 $ when we 1 start or less!",4
2015-08-28 13:52:21,Love this game must play game for all!!!,5
2019-06-30 16:02:17,i play this game on psp right now,5
2015-01-12 07:37:19,I want leader boreds plz i want to show every one my score,5
2018-02-13 13:24:30,Nice game,5
2017-01-16 07:43:37,Ya brah,5
2018-08-03 00:25:34,I love this game i had it since i got my tablet,5
2014-01-25 07:45:14,LOL (Laugh Out Loud),5
2016-02-12 09:08:44,Its good but not that good,3
2018-01-20 15:02:34,GOD killed the scientist,5
2016-03-20 22:13:33,Really good addicted on first day,5
2014-01-21 22:04:31,"I've loved this game for the past year, up to level 360 now with all items and jetpacks. Having had a lot of fun, I decided to spend $2 to support you guys by buying the Sleigh of Awesome 5 days ago. My credit card statement currently has the transaction listed, but the vehicle is not unlocked in the app. I will be disputing the purchase in the next two days if this isn't fixed.",1
2017-04-05 20:06:12,Semma game massss,5
2016-11-11 12:36:39,Ever heard of lucky patcher,4
2017-08-26 08:36:43,It is a boss game,5
2018-01-11 17:14:25,Its a f1ne gme 😙😘😙😘😙😘 i would comment u als0 t0 d0wn load👇👇👇👇,5
2013-09-22 14:48:57,"simple yet addictive. and the best thing is that it CAN BE PLAYED WITHOUT INTERNET CONNECTION!!! not everyone has 3G, after all.",5
2013-02-01 05:13:55,please fix the gameplay... the game is to fast unless you touch the screen... please fix  Thanks It's for all the models of lg optimus 2x please kindly fix and it will be 5 stars,4
2014-01-21 20:52:20,Gooooood,5
2019-05-05 08:21:26,This is a fun and entertainin game . Please play!,5
2014-10-28 16:48:33,Great game so good,5
2017-02-20 09:28:04,Love it reminds me of the arcade days,5
2014-01-30 08:58:37,Fun!,4
2016-12-04 09:20:20,Great game,5
2016-11-30 11:16:35,Wow it's one of the best games ever. U really should download it!!!The best part is that u don't have to pay money!!,4
2013-08-17 05:32:17,Great,5
2017-08-04 00:55:10,Played this years ago and it has changed so much,5
2014-03-15 23:24:49,Love it give it 5 stars best game ever n if u think it not u have a problem,5
2013-08-06 02:04:17,Gud Best gAme ever,5
2018-11-22 07:05:08,It's amazing and addicting. This was the first game I ever played When I got my first phone,5
2018-03-07 14:54:28,I love this game its the best,5
2016-06-21 04:32:15,This is a very addictive game and is challenging and thats why its super fun.,4
2016-02-13 23:57:48,Only problem is that it always hang or in updates,5
2015-10-14 14:09:08,Rahul bhardwaj,5
2015-09-11 18:05:38,RbsusE,5
2012-10-03 09:20:07,I was playing this game basically all day then when I started playing it again half of the gadgets I bought were gone n said I had to do uy them again.. Is this a bug or something??,5
2016-09-15 22:21:38,Coooooooooooooool game,5
2014-12-28 15:33:00,I love this game very much,5
2016-06-27 08:03:55,"It's very funny and challenging,the perfect combination!You NEED to try it!😃😉",5
2014-06-28 01:52:22,its awsome and it is new,5
2015-04-09 21:27:04,Boss,5
2013-03-28 19:22:02,bodoh crazy,5
2016-06-09 13:21:57,"This game used to be fun, but after awhile it's redundant. Cool to have different outfits, but having to play now it freakin sucks because ads now slow the game down. Ads are beino downloaded as you play and so it lags. Game crashes a lot. Save yourself some time and do not download.",1
2013-12-27 04:07:51,Awesome!!!!!!!!,5
2016-09-03 01:18:59,Great game,5
2013-01-07 23:19:46,NICE GAME,3
2014-08-21 05:01:08,"Great game but since the update, it keeps crashing",2
2013-07-19 22:58:47,"Nice update, I have an idea,how about iron man clothing? so we didn't need jetpack anymore",4
2014-10-30 19:36:25,Game ni sangat best gila tapi malang nya x dapt,5
2015-03-14 09:05:59,I play this game 247,5
2015-05-29 17:43:51,Terrible,1
2014-02-01 09:22:03,This game is so intense,5
2019-10-15 20:04:16,it is fun to play,5
2016-07-06 22:38:56,wow,5
2014-07-12 23:45:33,Itsukes,1
2014-11-06 16:42:40,This is so fan and please od some jet packs and clothing,5
2018-12-04 20:57:34,Kill game...love it,5
2013-06-20 22:49:08,VRY gud game,5
2014-07-13 16:29:40,Ang ganda sobra,4
2017-06-10 19:42:10,Good,5
2013-02-24 23:36:01,This is so amaizing,5
2015-04-17 06:00:56,Coo,5
2019-06-29 09:30:03,refuses to allow offline play,1
2013-07-13 01:27:10,Good game and nice also.... u must play it or try it...,5
2017-12-31 08:57:08,Awesomeness😎😎😎😎😎😎😋😋😋😋😎😎😎😎😀😀😀😀😁😁😁😁😁,5
2013-02-07 06:11:41,Best game ever,5
2016-11-22 16:47:21,Amazing game,5
2018-08-31 02:47:07,Great fun and kills time,5
2013-07-08 16:29:26,the game is good  but when it loading there are problem,5
2019-07-05 21:17:40,The best game ever the ad that pops up every round rhat people are talking about isnt poping up for me and i dont know why people say its not user friendly,5
2016-04-24 12:59:22,jetjoy,5
2017-04-03 23:13:09,"Nice  I like his costume ,dog ,everything in this game",5
2015-07-16 09:35:34,I love and if any one comes up to me and talks mess about this game and there in a slapping distance any body can get slapped👋👊 jk,5
2014-03-02 04:28:03,"It is the best game that makes you want to ,play more",5
2017-05-16 00:03:03,It is very,5
2020-10-06 20:13:10,Sam's are cools,5
2023-07-13 08:20:23,Best game ever,5
2014-03-30 09:43:10,Best game ever,5
2014-05-07 15:03:19,I love it,5
2020-09-28 03:52:31,I absolutely loved the collab,5
2013-12-20 06:21:16,I like the new features. The new jetpackes are cool and Sam,5
